File Name,File Size,Zipped File Size,Compression Ratio (Non-BWT Text),File Name,File Size,BWT Zipped File Size,Compression Ratio (BWT Text)
Output8.zip,1000,656,1.524390244,OutputBWT8.zip,1000,659,1.517450683
Output80.zip,1000,657,1.522070015,OutputBWT80.zip,1000,662,1.510574018
Output81.zip,1000,658,1.519756839,OutputBWT81.zip,1000,663,1.508295626
Output82.zip,1000,657,1.522070015,OutputBWT82.zip,1000,664,1.506024096
Output83.zip,1000,661,1.512859304,OutputBWT83.zip,1000,668,1.497005988
Output84.zip,1000,657,1.522070015,OutputBWT84.zip,1000,664,1.506024096
Output85.zip,1000,658,1.519756839,OutputBWT85.zip,1000,663,1.508295626
Output86.zip,1000,655,1.526717557,OutputBWT86.zip,1000,663,1.508295626
Output87.zip,1000,660,1.515151515,OutputBWT87.zip,1000,666,1.501501502
Output88.zip,1000,660,1.515151515,OutputBWT88.zip,1000,665,1.503759398
Output89.zip,1000,658,1.519756839,OutputBWT89.zip,1000,661,1.512859304
Output9.zip,1000,660,1.515151515,OutputBWT9.zip,1000,665,1.503759398
Output90.zip,1000,659,1.517450683,OutputBWT90.zip,1000,664,1.506024096
Output91.zip,1000,657,1.522070015,OutputBWT91.zip,1000,663,1.508295626
Output92.zip,1000,658,1.519756839,OutputBWT92.zip,1000,661,1.512859304
Output93.zip,1000,654,1.529051988,OutputBWT93.zip,1000,665,1.503759398
Output94.zip,1000,655,1.526717557,OutputBWT94.zip,1000,665,1.503759398
Output95.zip,1000,657,1.522070015,OutputBWT95.zip,1000,664,1.506024096
Output96.zip,1000,659,1.517450683,OutputBWT96.zip,1000,663,1.508295626
Output97.zip,1000,662,1.510574018,OutputBWT97.zip,1000,663,1.508295626
Output98.zip,1000,658,1.519756839,OutputBWT98.zip,1000,665,1.503759398
Output99.zip,1000,659,1.517450683,OutputBWT99.zip,1000,660,1.515151515
,2000,1161,1.722652885,,2000,1171,1.70794193
,2000,1155,1.731601732,,2000,1164,1.718213058
,2000,1168,1.712328767,,2000,1165,1.716738197
,2000,1160,1.724137931,,2000,1161,1.722652885
,2000,1160,1.724137931,,2000,1161,1.722652885
,2000,1163,1.719690456,,2000,1162,1.721170396
,2000,1152,1.736111111,,2000,1168,1.712328767
,2000,1167,1.713796058,,2000,1169,1.710863986
,2000,1165,1.716738197,,2000,1169,1.710863986
,2000,1167,1.713796058,,2000,1168,1.712328767
,2000,1172,1.706484642,,2000,1167,1.713796058
,2000,1164,1.718213058,,2000,1163,1.719690456
,2000,1159,1.725625539,,2000,1167,1.713796058
,2000,1167,1.713796058,,2000,1170,1.709401709
,2000,1165,1.716738197,,2000,1166,1.715265866
,2000,1159,1.725625539,,2000,1164,1.718213058
,2000,1162,1.721170396,,2000,1160,1.724137931
,2000,1160,1.724137931,,2000,1168,1.712328767
,2000,1161,1.722652885,,2000,1169,1.710863986
,2000,1159,1.725625539,,2000,1173,1.705029838
,2000,1154,1.733102253,,2000,1162,1.721170396
,2000,1159,1.725625539,,2000,1166,1.715265866
,2000,1164,1.718213058,,2000,1165,1.716738197
,2000,1158,1.727115717,,2000,1163,1.719690456
,2000,1161,1.722652885,,2000,1170,1.709401709
,2000,1166,1.715265866,,2000,1174,1.703577513
,2000,1170,1.709401709,,2000,1172,1.706484642
,2000,1153,1.734605377,,2000,1167,1.713796058
,2000,1165,1.716738197,,2000,1172,1.706484642
,2000,1163,1.719690456,,2000,1173,1.705029838
,2000,1157,1.72860847,,2000,1171,1.70794193
,2000,1157,1.72860847,,2000,1163,1.719690456
,2000,1158,1.727115717,,2000,1166,1.715265866
,2000,1161,1.722652885,,2000,1178,1.697792869
,2000,1163,1.719690456,,2000,1163,1.719690456
,2000,1160,1.724137931,,2000,1174,1.703577513
,2000,1160,1.724137931,,2000,1168,1.712328767
,2000,1170,1.709401709,,2000,1169,1.710863986
,2000,1154,1.733102253,,2000,1171,1.70794193
,2000,1167,1.713796058,,2000,1167,1.713796058
,2000,1165,1.716738197,,2000,1173,1.705029838
,2000,1167,1.713796058,,2000,1163,1.719690456
,2000,1163,1.719690456,,2000,1170,1.709401709
,2000,1157,1.72860847,,2000,1168,1.712328767
,2000,1159,1.725625539,,2000,1166,1.715265866
,2000,1165,1.716738197,,2000,1168,1.712328767
,2000,1161,1.722652885,,2000,1166,1.715265866
,2000,1156,1.730103806,,2000,1170,1.709401709
,2000,1164,1.718213058,,2000,1172,1.706484642
