File Name,File Size,Zipped File Size (Non-BWT Text),Compression Ratio (Non-BWT Text),File Name,File Size (BWT Text),Zipped File Size (BWT Text),Compression Ratio (BWT Text)
Output0.zip,1000,727,1.375515818,OutputBWT0.zip,1000,731,1.367989056
Output1.zip,1000,724,1.38121547,OutputBWT1.zip,1000,733,1.36425648
Output10.zip,1000,728,1.373626374,OutputBWT10.zip,1000,732,1.366120219
Output11.zip,1000,726,1.377410468,OutputBWT11.zip,1000,729,1.371742112
Output12.zip,1000,724,1.38121547,OutputBWT12.zip,1000,733,1.36425648
Output13.zip,1000,729,1.371742112,OutputBWT13.zip,1000,735,1.360544218
Output14.zip,1000,728,1.373626374,OutputBWT14.zip,1000,734,1.36239782
Output15.zip,1000,729,1.371742112,OutputBWT15.zip,1000,731,1.367989056
Output16.zip,1000,729,1.371742112,OutputBWT16.zip,1000,730,1.369863014
Output17.zip,1000,725,1.379310345,OutputBWT17.zip,1000,736,1.358695652
Output18.zip,1000,728,1.373626374,OutputBWT18.zip,1000,737,1.356852103
Output19.zip,1000,724,1.38121547,OutputBWT19.zip,1000,731,1.367989056
Output2.zip,1000,729,1.371742112,OutputBWT2.zip,1000,730,1.369863014
Output20.zip,1000,729,1.371742112,OutputBWT20.zip,1000,735,1.360544218
Output21.zip,1000,728,1.373626374,OutputBWT21.zip,1000,732,1.366120219
Output22.zip,1000,726,1.377410468,OutputBWT22.zip,1000,735,1.360544218
Output23.zip,1000,726,1.377410468,OutputBWT23.zip,1000,732,1.366120219
Output24.zip,1000,728,1.373626374,OutputBWT24.zip,1000,735,1.360544218
Output25.zip,1000,728,1.373626374,OutputBWT25.zip,1000,734,1.36239782
Output26.zip,1000,727,1.375515818,OutputBWT26.zip,1000,732,1.366120219
Output27.zip,1000,723,1.383125864,OutputBWT27.zip,1000,731,1.367989056
Output28.zip,1000,730,1.369863014,OutputBWT28.zip,1000,732,1.366120219
Output29.zip,1000,726,1.377410468,OutputBWT29.zip,1000,736,1.358695652
Output3.zip,1000,727,1.375515818,OutputBWT3.zip,1000,729,1.371742112
Output30.zip,1000,728,1.373626374,OutputBWT30.zip,1000,733,1.36425648
Output31.zip,1000,730,1.369863014,OutputBWT31.zip,1000,732,1.366120219
Output32.zip,1000,729,1.371742112,OutputBWT32.zip,1000,735,1.360544218
Output33.zip,1000,727,1.375515818,OutputBWT33.zip,1000,730,1.369863014
Output34.zip,1000,728,1.373626374,OutputBWT34.zip,1000,732,1.366120219
Output35.zip,1000,728,1.373626374,OutputBWT35.zip,1000,733,1.36425648
Output36.zip,1000,729,1.371742112,OutputBWT36.zip,1000,736,1.358695652
Output37.zip,1000,730,1.369863014,OutputBWT37.zip,1000,735,1.360544218
Output38.zip,1000,728,1.373626374,OutputBWT38.zip,1000,734,1.36239782
Output39.zip,1000,731,1.367989056,OutputBWT39.zip,1000,732,1.366120219
Output4.zip,1000,727,1.375515818,OutputBWT4.zip,1000,733,1.36425648
Output40.zip,1000,728,1.373626374,OutputBWT40.zip,1000,736,1.358695652
Output41.zip,1000,726,1.377410468,OutputBWT41.zip,1000,729,1.371742112
Output42.zip,1000,731,1.367989056,OutputBWT42.zip,1000,736,1.358695652
Output43.zip,1000,728,1.373626374,OutputBWT43.zip,1000,732,1.366120219
Output44.zip,1000,725,1.379310345,OutputBWT44.zip,1000,734,1.36239782
Output45.zip,1000,726,1.377410468,OutputBWT45.zip,1000,734,1.36239782
Output46.zip,1000,725,1.379310345,OutputBWT46.zip,1000,734,1.36239782
Output47.zip,1000,728,1.373626374,OutputBWT47.zip,1000,735,1.360544218
Output48.zip,1000,726,1.377410468,OutputBWT48.zip,1000,732,1.366120219
Output49.zip,1000,727,1.375515818,OutputBWT49.zip,1000,736,1.358695652
Output5.zip,1000,727,1.375515818,OutputBWT5.zip,1000,733,1.36425648
Output50.zip,1000,726,1.377410468,OutputBWT50.zip,1000,733,1.36425648
Output51.zip,1000,731,1.367989056,OutputBWT51.zip,1000,736,1.358695652
Output52.zip,1000,727,1.375515818,OutputBWT52.zip,1000,731,1.367989056
Output53.zip,1000,727,1.375515818,OutputBWT53.zip,1000,734,1.36239782
Output54.zip,1000,725,1.379310345,OutputBWT54.zip,1000,735,1.360544218
Output55.zip,1000,731,1.367989056,OutputBWT55.zip,1000,730,1.369863014
Output56.zip,1000,728,1.373626374,OutputBWT56.zip,1000,731,1.367989056
Output57.zip,1000,726,1.377410468,OutputBWT57.zip,1000,732,1.366120219
Output58.zip,1000,726,1.377410468,OutputBWT58.zip,1000,732,1.366120219
Output59.zip,1000,727,1.375515818,OutputBWT59.zip,1000,731,1.367989056
Output6.zip,1000,727,1.375515818,OutputBWT6.zip,1000,732,1.366120219
Output60.zip,1000,728,1.373626374,OutputBWT60.zip,1000,734,1.36239782
Output61.zip,1000,730,1.369863014,OutputBWT61.zip,1000,732,1.366120219
Output62.zip,1000,729,1.371742112,OutputBWT62.zip,1000,737,1.356852103
