File Name,File Size,Zipped File Size (Non-BWT Text),Compression Ratio (Non-BWT Text),File Name,File Size,Zipped File Size (BWT Text),Compression Ratio (BWT Text)
Output0.zip,1000,710,1.408450704,OutputBWT0.zip,1000,714,1.400560224
Output1.zip,1000,709,1.410437236,OutputBWT1.zip,1000,711,1.406469761
Output10.zip,1000,712,1.404494382,OutputBWT10.zip,1000,712,1.404494382
Output11.zip,1000,706,1.416430595,OutputBWT11.zip,1000,719,1.390820584
Output12.zip,1000,709,1.410437236,OutputBWT12.zip,1000,719,1.390820584
Output13.zip,1000,709,1.410437236,OutputBWT13.zip,1000,715,1.398601399
Output14.zip,1000,710,1.408450704,OutputBWT14.zip,1000,715,1.398601399
Output15.zip,1000,706,1.416430595,OutputBWT15.zip,1000,714,1.400560224
Output16.zip,1000,709,1.410437236,OutputBWT16.zip,1000,717,1.394700139
Output17.zip,1000,708,1.412429379,OutputBWT17.zip,1000,718,1.39275766
Output18.zip,1000,708,1.412429379,OutputBWT18.zip,1000,715,1.398601399
Output19.zip,1000,711,1.406469761,OutputBWT19.zip,1000,715,1.398601399
Output2.zip,1000,710,1.408450704,OutputBWT2.zip,1000,715,1.398601399
Output20.zip,1000,710,1.408450704,OutputBWT20.zip,1000,716,1.396648045
Output21.zip,1000,712,1.404494382,OutputBWT21.zip,1000,714,1.400560224
Output22.zip,1000,710,1.408450704,OutputBWT22.zip,1000,720,1.388888889
Output23.zip,1000,710,1.408450704,OutputBWT23.zip,1000,715,1.398601399
Output24.zip,1000,708,1.412429379,OutputBWT24.zip,1000,717,1.394700139
Output25.zip,1000,712,1.404494382,OutputBWT25.zip,1000,712,1.404494382
Output26.zip,1000,712,1.404494382,OutputBWT26.zip,1000,716,1.396648045
Output27.zip,1000,711,1.406469761,OutputBWT27.zip,1000,715,1.398601399
Output28.zip,1000,711,1.406469761,OutputBWT28.zip,1000,716,1.396648045
Output29.zip,1000,710,1.408450704,OutputBWT29.zip,1000,714,1.400560224
Output3.zip,1000,707,1.414427157,OutputBWT3.zip,1000,711,1.406469761
Output30.zip,1000,711,1.406469761,OutputBWT30.zip,1000,717,1.394700139
Output31.zip,1000,714,1.400560224,OutputBWT31.zip,1000,717,1.394700139
Output32.zip,1000,709,1.410437236,OutputBWT32.zip,1000,715,1.398601399
Output33.zip,1000,712,1.404494382,OutputBWT33.zip,1000,719,1.390820584
Output34.zip,1000,710,1.408450704,OutputBWT34.zip,1000,718,1.39275766
Output35.zip,1000,711,1.406469761,OutputBWT35.zip,1000,717,1.394700139
Output36.zip,1000,709,1.410437236,OutputBWT36.zip,1000,715,1.398601399
Output37.zip,1000,709,1.410437236,OutputBWT37.zip,1000,713,1.402524544
Output38.zip,1000,709,1.410437236,OutputBWT38.zip,1000,713,1.402524544
Output39.zip,1000,713,1.402524544,OutputBWT39.zip,1000,715,1.398601399
Output4.zip,1000,705,1.418439716,OutputBWT4.zip,1000,710,1.408450704
Output40.zip,1000,709,1.410437236,OutputBWT40.zip,1000,716,1.396648045
Output41.zip,1000,709,1.410437236,OutputBWT41.zip,1000,715,1.398601399
Output42.zip,1000,712,1.404494382,OutputBWT42.zip,1000,717,1.394700139
Output43.zip,1000,710,1.408450704,OutputBWT43.zip,1000,717,1.394700139
Output44.zip,1000,711,1.406469761,OutputBWT44.zip,1000,713,1.402524544
Output45.zip,1000,711,1.406469761,OutputBWT45.zip,1000,713,1.402524544
Output46.zip,1000,708,1.412429379,OutputBWT46.zip,1000,711,1.406469761
Output47.zip,1000,710,1.408450704,OutputBWT47.zip,1000,716,1.396648045
Output48.zip,1000,709,1.410437236,OutputBWT48.zip,1000,717,1.394700139
Output49.zip,1000,712,1.404494382,OutputBWT49.zip,1000,715,1.398601399
Output5.zip,1000,712,1.404494382,OutputBWT5.zip,1000,712,1.404494382
Output50.zip,1000,711,1.406469761,OutputBWT50.zip,1000,715,1.398601399
Output51.zip,1000,709,1.410437236,OutputBWT51.zip,1000,717,1.394700139
Output52.zip,1000,708,1.412429379,OutputBWT52.zip,1000,716,1.396648045
Output53.zip,1000,706,1.416430595,OutputBWT53.zip,1000,713,1.402524544
Output54.zip,1000,712,1.404494382,OutputBWT54.zip,1000,720,1.388888889
Output55.zip,1000,712,1.404494382,OutputBWT55.zip,1000,712,1.404494382
Output56.zip,1000,709,1.410437236,OutputBWT56.zip,1000,713,1.402524544
Output57.zip,1000,709,1.410437236,OutputBWT57.zip,1000,718,1.39275766
Output58.zip,1000,709,1.410437236,OutputBWT58.zip,1000,710,1.408450704
Output59.zip,1000,711,1.406469761,OutputBWT59.zip,1000,718,1.39275766
