File Name,File Size,Zipped File Size (Non-BWT Text),Compression Ratio (Non-BWT Text),File Name,File Size (BWT Text),Zipped File Size (BWT Text),Compression Ratio (BWT Text)
Output7.zip,1000,740,1.351351351,OutputBWT7.zip,1000,746,1.340482574
Output70.zip,1000,740,1.351351351,OutputBWT70.zip,1000,749,1.335113485
Output71.zip,1000,741,1.349527665,OutputBWT71.zip,1000,747,1.338688086
Output72.zip,1000,740,1.351351351,OutputBWT72.zip,1000,746,1.340482574
Output73.zip,1000,743,1.34589502,OutputBWT73.zip,1000,747,1.338688086
Output74.zip,1000,741,1.349527665,OutputBWT74.zip,1000,748,1.336898396
Output75.zip,1000,743,1.34589502,OutputBWT75.zip,1000,750,1.333333333
Output76.zip,1000,740,1.351351351,OutputBWT76.zip,1000,751,1.331557923
Output77.zip,1000,742,1.347708895,OutputBWT77.zip,1000,748,1.336898396
Output78.zip,1000,745,1.342281879,OutputBWT78.zip,1000,747,1.338688086
Output79.zip,1000,743,1.34589502,OutputBWT79.zip,1000,750,1.333333333
Output8.zip,1000,739,1.353179973,OutputBWT8.zip,1000,747,1.338688086
Output80.zip,1000,744,1.344086022,OutputBWT80.zip,1000,751,1.331557923
Output81.zip,1000,741,1.349527665,OutputBWT81.zip,1000,749,1.335113485
Output82.zip,1000,743,1.34589502,OutputBWT82.zip,1000,750,1.333333333
Output83.zip,1000,741,1.349527665,OutputBWT83.zip,1000,748,1.336898396
Output84.zip,1000,741,1.349527665,OutputBWT84.zip,1000,747,1.338688086
Output85.zip,1000,744,1.344086022,OutputBWT85.zip,1000,752,1.329787234
Output86.zip,1000,744,1.344086022,OutputBWT86.zip,1000,749,1.335113485
Output87.zip,1000,742,1.347708895,OutputBWT87.zip,1000,748,1.336898396
Output88.zip,1000,741,1.349527665,OutputBWT88.zip,1000,749,1.335113485
Output89.zip,1000,743,1.34589502,OutputBWT89.zip,1000,748,1.336898396
Output9.zip,1000,741,1.349527665,OutputBWT9.zip,1000,745,1.342281879
Output90.zip,1000,743,1.34589502,OutputBWT90.zip,1000,750,1.333333333
Output91.zip,1000,743,1.34589502,OutputBWT91.zip,1000,750,1.333333333
Output92.zip,1000,741,1.349527665,OutputBWT92.zip,1000,752,1.329787234
Output93.zip,1000,743,1.34589502,OutputBWT93.zip,1000,748,1.336898396
Output94.zip,1000,741,1.349527665,OutputBWT94.zip,1000,750,1.333333333
Output95.zip,1000,743,1.34589502,OutputBWT95.zip,1000,747,1.338688086
Output96.zip,1000,743,1.34589502,OutputBWT96.zip,1000,748,1.336898396
Output97.zip,1000,744,1.344086022,OutputBWT97.zip,1000,750,1.333333333
Output98.zip,1000,741,1.349527665,OutputBWT98.zip,1000,750,1.333333333
Output99.zip,1000,741,1.349527665,OutputBWT99.zip,1000,747,1.338688086
,2000,1324,1.510574018,,2000,1334,1.499250375
,2000,1328,1.506024096,,2000,1331,1.502629602
,2000,1330,1.503759398,,2000,1335,1.498127341
,2000,1327,1.507159005,,2000,1338,1.494768311
,2000,1331,1.502629602,,2000,1338,1.494768311
,2000,1333,1.500375094,,2000,1339,1.493651979
,2000,1330,1.503759398,,2000,1336,1.497005988
,2000,1331,1.502629602,,2000,1340,1.492537313
,2000,1333,1.500375094,,2000,1337,1.495886313
,2000,1331,1.502629602,,2000,1339,1.493651979
,2000,1328,1.506024096,,2000,1334,1.499250375
,2000,1334,1.499250375,,2000,1333,1.500375094
,2000,1326,1.508295626,,2000,1332,1.501501502
,2000,1324,1.510574018,,2000,1341,1.49142431
,2000,1327,1.507159005,,2000,1332,1.501501502
,2000,1330,1.503759398,,2000,1336,1.497005988
,2000,1331,1.502629602,,2000,1338,1.494768311
,2000,1327,1.507159005,,2000,1341,1.49142431
,2000,1327,1.507159005,,2000,1335,1.498127341
,2000,1327,1.507159005,,2000,1334,1.499250375
,2000,1326,1.508295626,,2000,1338,1.494768311
,2000,1326,1.508295626,,2000,1334,1.499250375
,2000,1334,1.499250375,,2000,1336,1.497005988
,2000,1326,1.508295626,,2000,1334,1.499250375
,2000,1333,1.500375094,,2000,1334,1.499250375
,2000,1333,1.500375094,,2000,1339,1.493651979
,2000,1330,1.503759398,,2000,1336,1.497005988
,2000,1331,1.502629602,,2000,1337,1.495886313
,2000,1330,1.503759398,,2000,1339,1.493651979
,2000,1327,1.507159005,,2000,1335,1.498127341
,2000,1330,1.503759398,,2000,1336,1.497005988
,2000,1328,1.506024096,,2000,1332,1.501501502
