File Name,File Size,Zipped File Size (Non-BWT Text),Compression Ratio (Non-BWT Text),File Name,File Size (BWT Text),Zipped File Size (BWT Text),Compression Ratio (BWT Text)
Output0.zip,1000,754,1.326259947,OutputBWT0.zip,1000,761,1.314060447
Output1.zip,1000,753,1.328021248,OutputBWT1.zip,1000,755,1.324503311
Output10.zip,1000,755,1.324503311,OutputBWT10.zip,1000,763,1.31061599
Output11.zip,1000,755,1.324503311,OutputBWT11.zip,1000,762,1.312335958
Output12.zip,1000,756,1.322751323,OutputBWT12.zip,1000,763,1.31061599
Output13.zip,1000,755,1.324503311,OutputBWT13.zip,1000,761,1.314060447
Output14.zip,1000,757,1.321003963,OutputBWT14.zip,1000,762,1.312335958
Output15.zip,1000,757,1.321003963,OutputBWT15.zip,1000,764,1.308900524
Output16.zip,1000,757,1.321003963,OutputBWT16.zip,1000,763,1.31061599
Output17.zip,1000,756,1.322751323,OutputBWT17.zip,1000,757,1.321003963
Output18.zip,1000,759,1.317523057,OutputBWT18.zip,1000,764,1.308900524
Output19.zip,1000,755,1.324503311,OutputBWT19.zip,1000,763,1.31061599
Output2.zip,1000,754,1.326259947,OutputBWT2.zip,1000,758,1.319261214
Output20.zip,1000,755,1.324503311,OutputBWT20.zip,1000,760,1.315789474
Output21.zip,1000,755,1.324503311,OutputBWT21.zip,1000,765,1.307189542
Output22.zip,1000,756,1.322751323,OutputBWT22.zip,1000,765,1.307189542
Output23.zip,1000,755,1.324503311,OutputBWT23.zip,1000,759,1.317523057
Output24.zip,1000,756,1.322751323,OutputBWT24.zip,1000,763,1.31061599
Output25.zip,1000,756,1.322751323,OutputBWT25.zip,1000,764,1.308900524
Output26.zip,1000,758,1.319261214,OutputBWT26.zip,1000,765,1.307189542
Output27.zip,1000,758,1.319261214,OutputBWT27.zip,1000,760,1.315789474
Output28.zip,1000,758,1.319261214,OutputBWT28.zip,1000,762,1.312335958
Output29.zip,1000,756,1.322751323,OutputBWT29.zip,1000,764,1.308900524
Output3.zip,1000,751,1.331557923,OutputBWT3.zip,1000,759,1.317523057
Output30.zip,1000,754,1.326259947,OutputBWT30.zip,1000,762,1.312335958
Output31.zip,1000,758,1.319261214,OutputBWT31.zip,1000,761,1.314060447
Output32.zip,1000,756,1.322751323,OutputBWT32.zip,1000,761,1.314060447
Output33.zip,1000,755,1.324503311,OutputBWT33.zip,1000,764,1.308900524
Output34.zip,1000,754,1.326259947,OutputBWT34.zip,1000,762,1.312335958
Output35.zip,1000,751,1.331557923,OutputBWT35.zip,1000,761,1.314060447
Output36.zip,1000,757,1.321003963,OutputBWT36.zip,1000,759,1.317523057
Output37.zip,1000,757,1.321003963,OutputBWT37.zip,1000,761,1.314060447
Output38.zip,1000,757,1.321003963,OutputBWT38.zip,1000,763,1.31061599
Output39.zip,1000,757,1.321003963,OutputBWT39.zip,1000,764,1.308900524
Output4.zip,1000,753,1.328021248,OutputBWT4.zip,1000,761,1.314060447
Output40.zip,1000,756,1.322751323,OutputBWT40.zip,1000,763,1.31061599
Output41.zip,1000,754,1.326259947,OutputBWT41.zip,1000,761,1.314060447
Output42.zip,1000,759,1.317523057,OutputBWT42.zip,1000,764,1.308900524
Output43.zip,1000,755,1.324503311,OutputBWT43.zip,1000,760,1.315789474
Output44.zip,1000,753,1.328021248,OutputBWT44.zip,1000,763,1.31061599
Output45.zip,1000,756,1.322751323,OutputBWT45.zip,1000,762,1.312335958
Output46.zip,1000,755,1.324503311,OutputBWT46.zip,1000,762,1.312335958
Output47.zip,1000,756,1.322751323,OutputBWT47.zip,1000,762,1.312335958
Output48.zip,1000,755,1.324503311,OutputBWT48.zip,1000,761,1.314060447
Output49.zip,1000,756,1.322751323,OutputBWT49.zip,1000,760,1.315789474
Output5.zip,1000,755,1.324503311,OutputBWT5.zip,1000,761,1.314060447
