File Name,File Size,Zipped File Size,Compression Ratio (Non-BWT Text),,,,Compression Ratio (BWT Text)
Output80.zip,1000,507,1.972386588,1000,OutputBWT80.zip,517,1.934235977
Output81.zip,1000,511,1.956947162,1000,OutputBWT81.zip,514,1.945525292
Output82.zip,1000,508,1.968503937,1000,OutputBWT82.zip,512,1.953125
Output83.zip,1000,508,1.968503937,1000,OutputBWT83.zip,514,1.945525292
Output84.zip,1000,516,1.937984496,1000,OutputBWT84.zip,514,1.945525292
Output85.zip,1000,507,1.972386588,1000,OutputBWT85.zip,516,1.937984496
Output86.zip,1000,511,1.956947162,1000,OutputBWT86.zip,513,1.949317739
Output87.zip,1000,511,1.956947162,1000,OutputBWT87.zip,521,1.919385797
Output88.zip,1000,505,1.98019802,1000,OutputBWT88.zip,508,1.968503937
Output89.zip,1000,516,1.937984496,1000,OutputBWT89.zip,513,1.949317739
Output9.zip,1000,510,1.960784314,1000,OutputBWT9.zip,515,1.941747573
Output90.zip,1000,512,1.953125,1000,OutputBWT90.zip,520,1.923076923
Output91.zip,1000,504,1.984126984,1000,OutputBWT91.zip,512,1.953125
Output92.zip,1000,503,1.988071571,1000,OutputBWT92.zip,523,1.912045889
Output93.zip,1000,513,1.949317739,1000,OutputBWT93.zip,518,1.930501931
Output94.zip,1000,507,1.972386588,1000,OutputBWT94.zip,515,1.941747573
Output95.zip,1000,515,1.941747573,1000,OutputBWT95.zip,516,1.937984496
Output96.zip,1000,511,1.956947162,1000,OutputBWT96.zip,516,1.937984496
Output97.zip,1000,507,1.972386588,1000,OutputBWT97.zip,517,1.934235977
Output98.zip,1000,515,1.941747573,1000,OutputBWT98.zip,521,1.919385797
Output99.zip,1000,500,2,1000,OutputBWT99.zip,519,1.926782274
,2000,824,2.427184466,2000,,840,2.380952381
,2000,832,2.403846154,2000,,835,2.395209581
,2000,834,2.398081535,2000,,841,2.378121284
,2000,830,2.409638554,2000,,847,2.361275089
,2000,833,2.400960384,2000,,830,2.409638554
,2000,832,2.403846154,2000,,846,2.364066194
,2000,830,2.409638554,2000,,838,2.386634845
,2000,828,2.415458937,2000,,831,2.406738869
,2000,837,2.38948626,2000,,838,2.386634845
,2000,839,2.383790226,2000,,836,2.392344498
,2000,832,2.403846154,2000,,846,2.364066194
,2000,830,2.409638554,2000,,841,2.378121284
,2000,819,2.442002442,2000,,837,2.38948626
,2000,831,2.406738869,2000,,840,2.380952381
,2000,827,2.418379686,2000,,843,2.372479241
,2000,836,2.392344498,2000,,839,2.383790226
,2000,829,2.412545235,2000,,833,2.400960384
,2000,834,2.398081535,2000,,838,2.386634845
,2000,831,2.406738869,2000,,838,2.386634845
,2000,829,2.412545235,2000,,828,2.415458937
,2000,839,2.383790226,2000,,834,2.398081535
,2000,836,2.392344498,2000,,839,2.383790226
,2000,835,2.395209581,2000,,838,2.386634845
,2000,832,2.403846154,2000,,838,2.386634845
,2000,830,2.409638554,2000,,843,2.372479241
,2000,842,2.375296912,2000,,845,2.366863905
,2000,829,2.412545235,2000,,849,2.355712603
,2000,830,2.409638554,2000,,836,2.392344498
,2000,826,2.421307506,2000,,834,2.398081535
,2000,832,2.403846154,2000,,846,2.364066194
,2000,836,2.392344498,2000,,840,2.380952381
,2000,829,2.412545235,2000,,838,2.386634845
,2000,838,2.386634845,2000,,838,2.386634845
,2000,832,2.403846154,2000,,833,2.400960384
,2000,830,2.409638554,2000,,835,2.395209581
,2000,842,2.375296912,2000,,845,2.366863905
,2000,828,2.415458937,2000,,831,2.406738869
,2000,838,2.386634845,2000,,837,2.38948626
,2000,834,2.398081535,2000,,850,2.352941176
,2000,831,2.406738869,2000,,832,2.403846154
,2000,839,2.383790226,2000,,835,2.395209581
,2000,826,2.421307506,2000,,839,2.383790226
,2000,834,2.398081535,2000,,845,2.366863905
,2000,834,2.398081535,2000,,846,2.364066194
,2000,835,2.395209581,2000,,834,2.398081535
,2000,838,2.386634845,2000,,842,2.375296912
,2000,826,2.421307506,2000,,839,2.383790226
,2000,828,2.415458937,2000,,836,2.392344498
,2000,838,2.386634845,2000,,835,2.395209581
,2000,835,2.395209581,2000,,833,2.400960384
,2000,842,2.375296912,2000,,843,2.372479241
,2000,837,2.38948626,2000,,837,2.38948626
,2000,831,2.406738869,2000,,831,2.406738869
,2000,840,2.380952381,2000,,841,2.378121284
,2000,838,2.386634845,2000,,842,2.375296912
,2000,825,2.424242424,2000,,850,2.352941176
,2000,831,2.406738869,2000,,838,2.386634845
,2000,828,2.415458937,2000,,837,2.38948626
,2000,824,2.427184466,2000,,841,2.378121284
,2000,832,2.403846154,2000,,832,2.403846154
,2000,827,2.418379686,2000,,838,2.386634845
,2000,828,2.415458937,2000,,840,2.380952381
,2000,834,2.398081535,2000,,835,2.395209581
,2000,828,2.415458937,2000,,842,2.375296912
,2000,831,2.406738869,2000,,838,2.386634845
,2000,840,2.380952381,2000,,837,2.38948626
,2000,832,2.403846154,2000,,839,2.383790226
,2000,827,2.418379686,2000,,835,2.395209581
,2000,830,2.409638554,2000,,842,2.375296912
,2000,837,2.38948626,2000,,839,2.383790226
,2000,833,2.400960384,2000,,832,2.403846154
,2000,824,2.427184466,2000,,851,2.350176263
,2000,835,2.395209581,2000,,838,2.386634845
,2000,834,2.398081535,2000,,846,2.364066194
,2000,837,2.38948626,2000,,846,2.364066194
,2000,830,2.409638554,2000,,836,2.392344498
,2000,827,2.418379686,2000,,842,2.375296912
,2000,840,2.380952381,2000,,857,2.333722287
,2000,834,2.398081535,2000,,841,2.378121284
,2000,835,2.395209581,2000,,832,2.403846154
,2000,830,2.409638554,2000,,840,2.380952381
,2000,830,2.409638554,2000,,833,2.400960384
,2000,836,2.392344498,2000,,848,2.358490566
,2000,824,2.427184466,2000,,839,2.383790226
,2000,837,2.38948626,2000,,839,2.383790226
,2000,835,2.395209581,2000,,837,2.38948626
,2000,840,2.380952381,2000,,843,2.372479241
,2000,841,2.378121284,2000,,832,2.403846154
,2000,828,2.415458937,2000,,837,2.38948626
,2000,843,2.372479241,2000,,840,2.380952381
,2000,840,2.380952381,2000,,834,2.398081535
,2000,842,2.375296912,2000,,838,2.386634845
,2000,834,2.398081535,2000,,838,2.386634845
,2000,835,2.395209581,2000,,849,2.355712603
,2000,832,2.403846154,2000,,843,2.372479241
,2000,831,2.406738869,2000,,836,2.392344498
,2000,847,2.361275089,2000,,843,2.372479241
,2000,833,2.400960384,2000,,837,2.38948626
,2000,838,2.386634845,2000,,846,2.364066194
,2000,825,2.424242424,2000,,845,2.366863905
,5000,1789,2.794857462,5000,,1790,2.793296089
,5000,1761,2.839295855,5000,,1778,2.812148481
,5000,1783,2.804262479,5000,,1776,2.815315315
,5000,1797,2.782415136,5000,,1792,2.790178571
,5000,1791,2.79173646,5000,,1784,2.802690583
,5000,1783,2.804262479,5000,,1788,2.796420582
,5000,1769,2.826455625,5000,,1783,2.804262479
,5000,1790,2.793296089,5000,,1780,2.808988764
,5000,1772,2.821670429,5000,,1795,2.78551532
,5000,1786,2.799552072,5000,,1788,2.796420582
,5000,1793,2.788622421,5000,,1796,2.783964365
,5000,1781,2.807411567,5000,,1778,2.812148481
,5000,1779,2.810567735,5000,,1779,2.810567735
,5000,1778,2.812148481,5000,,1796,2.783964365
,5000,1773,2.820078962,5000,,1769,2.826455625
,5000,1789,2.794857462,5000,,1784,2.802690583
,5000,1778,2.812148481,5000,,1779,2.810567735
,5000,1765,2.83286119,5000,,1794,2.787068004
,5000,1783,2.804262479,5000,,1786,2.799552072
,5000,1789,2.794857462,5000,,1793,2.788622421
,5000,1796,2.783964365,5000,,1790,2.793296089
,5000,1786,2.799552072,5000,,1785,2.801120448
,5000,1786,2.799552072,5000,,1789,2.794857462
,5000,1769,2.826455625,5000,,1794,2.787068004
,5000,1789,2.794857462,5000,,1804,2.771618625
,5000,1783,2.804262479,5000,,1784,2.802690583
,5000,1782,2.805836139,5000,,1784,2.802690583
,5000,1787,2.79798545,5000,,1794,2.787068004
,5000,1770,2.824858757,5000,,1797,2.782415136
,5000,1785,2.801120448,5000,,1787,2.79798545
,5000,1772,2.821670429,5000,,1794,2.787068004
,5000,1772,2.821670429,5000,,1790,2.793296089
,5000,1789,2.794857462,5000,,1780,2.808988764
,5000,1791,2.79173646,5000,,1785,2.801120448
,5000,1784,2.802690583,5000,,1787,2.79798545
,5000,1777,2.813731007,5000,,1790,2.793296089
,5000,1781,2.807411567,5000,,1791,2.79173646
,5000,1771,2.823263693,5000,,1802,2.774694784
,5000,1785,2.801120448,5000,,1782,2.805836139
,5000,1790,2.793296089,5000,,1795,2.78551532
,5000,1778,2.812148481,5000,,1797,2.782415136
,5000,1784,2.802690583,5000,,1785,2.801120448
,5000,1775,2.816901408,5000,,1781,2.807411567
,5000,1796,2.783964365,5000,,1792,2.790178571
,5000,1773,2.820078962,5000,,1786,2.799552072
,5000,1780,2.808988764,5000,,1773,2.820078962
,5000,1789,2.794857462,5000,,1782,2.805836139
,5000,1781,2.807411567,5000,,1793,2.788622421
,5000,1783,2.804262479,5000,,1782,2.805836139
,5000,1783,2.804262479,5000,,1776,2.815315315
,5000,1773,2.820078962,5000,,1785,2.801120448
,5000,1777,2.813731007,5000,,1801,2.776235425
,5000,1782,2.805836139,5000,,1791,2.79173646
,5000,1784,2.802690583,5000,,1789,2.794857462
,5000,1786,2.799552072,5000,,1772,2.821670429
,5000,1787,2.79798545,5000,,1771,2.823263693
,5000,1769,2.826455625,5000,,1780,2.808988764
,5000,1781,2.807411567,5000,,1797,2.782415136
,5000,1789,2.794857462,5000,,1788,2.796420582
,5000,1789,2.794857462,5000,,1790,2.793296089
,5000,1760,2.840909091,5000,,1778,2.812148481
,5000,1760,2.840909091,5000,,1793,2.788622421
,5000,1774,2.81848929,5000,,1798,2.780867631
,5000,1770,2.824858757,5000,,1790,2.793296089
,5000,1769,2.826455625,5000,,1782,2.805836139
,5000,1793,2.788622421,5000,,1804,2.771618625
,5000,1785,2.801120448,5000,,1792,2.790178571
,5000,1776,2.815315315,5000,,1791,2.79173646
,5000,1777,2.813731007,5000,,1807,2.767017156
,5000,1789,2.794857462,5000,,1800,2.777777778
,5000,1771,2.823263693,5000,,1787,2.79798545
,5000,1774,2.81848929,5000,,1779,2.810567735
,5000,1787,2.79798545,5000,,1786,2.799552072
,5000,1790,2.793296089,5000,,1799,2.779321845
,5000,1777,2.813731007,5000,,1788,2.796420582
,5000,1790,2.793296089,5000,,1777,2.813731007
,5000,1783,2.804262479,5000,,1785,2.801120448
,5000,1771,2.823263693,5000,,1785,2.801120448
,5000,1779,2.810567735,5000,,1786,2.799552072
,5000,1779,2.810567735,5000,,1781,2.807411567
,5000,1773,2.820078962,5000,,1787,2.79798545
,5000,1787,2.79798545,5000,,1787,2.79798545
,5000,1773,2.820078962,5000,,1781,2.807411567
,5000,1784,2.802690583,5000,,1788,2.796420582
,5000,1773,2.820078962,5000,,1785,2.801120448
,5000,1783,2.804262479,5000,,1787,2.79798545
,5000,1786,2.799552072,5000,,1800,2.777777778
,5000,1782,2.805836139,5000,,1793,2.788622421
,5000,1786,2.799552072,5000,,1778,2.812148481
,5000,1780,2.808988764,5000,,1775,2.816901408
,5000,1777,2.813731007,5000,,1787,2.79798545
,5000,1773,2.820078962,5000,,1784,2.802690583
,5000,1792,2.790178571,5000,,1784,2.802690583
,5000,1789,2.794857462,5000,,1792,2.790178571
,5000,1772,2.821670429,5000,,1784,2.802690583
