File Name,File Size,Zipped File Size (Non-BWT Text),Compression Ratio (Non-BWT Text),File Name,File Size,Zipped File Size (BWT Text),Compression Ratio (BWT Text)
Output0.zip,1000,776,1.288659794,OutputBWT0.zip,1000,782,1.278772379
Output1.zip,1000,778,1.285347044,OutputBWT1.zip,1000,784,1.275510204
Output10.zip,1000,779,1.283697047,OutputBWT10.zip,1000,786,1.272264631
Output11.zip,1000,780,1.282051282,OutputBWT11.zip,1000,781,1.280409731
Output12.zip,1000,779,1.283697047,OutputBWT12.zip,1000,785,1.27388535
Output13.zip,1000,782,1.278772379,OutputBWT13.zip,1000,784,1.275510204
Output14.zip,1000,780,1.282051282,OutputBWT14.zip,1000,786,1.272264631
Output15.zip,1000,779,1.283697047,OutputBWT15.zip,1000,785,1.27388535
Output16.zip,1000,778,1.285347044,OutputBWT16.zip,1000,785,1.27388535
Output17.zip,1000,783,1.277139208,OutputBWT17.zip,1000,786,1.272264631
Output18.zip,1000,780,1.282051282,OutputBWT18.zip,1000,786,1.272264631
Output19.zip,1000,781,1.280409731,OutputBWT19.zip,1000,785,1.27388535
Output2.zip,1000,777,1.287001287,OutputBWT2.zip,1000,784,1.275510204
Output20.zip,1000,781,1.280409731,OutputBWT20.zip,1000,784,1.275510204
Output21.zip,1000,780,1.282051282,OutputBWT21.zip,1000,787,1.27064803
Output22.zip,1000,781,1.280409731,OutputBWT22.zip,1000,786,1.272264631
Output23.zip,1000,777,1.287001287,OutputBWT23.zip,1000,783,1.277139208
Output24.zip,1000,782,1.278772379,OutputBWT24.zip,1000,789,1.267427123
Output25.zip,1000,780,1.282051282,OutputBWT25.zip,1000,784,1.275510204
Output26.zip,1000,779,1.283697047,OutputBWT26.zip,1000,785,1.27388535
Output27.zip,1000,779,1.283697047,OutputBWT27.zip,1000,784,1.275510204
Output28.zip,1000,780,1.282051282,OutputBWT28.zip,1000,786,1.272264631
Output29.zip,1000,781,1.280409731,OutputBWT29.zip,1000,786,1.272264631
Output3.zip,1000,781,1.280409731,OutputBWT3.zip,1000,786,1.272264631
